Group,Sample,length_mm,mass_g,coulter1,count1,coulter2,count2,coulter3,count3,avg_coulter,avg_count,ab540,RBC_mm,column_mm,PCV,conc_HB_mgml,conc_HB_gmdL,hemo_rawcount,avgcell_count,conc_cells_mm3,MEH,MEV,MEHC
D,D3-2,109,4.1,53.887,39531,52.0603,33084,50.2336,35529,52.0603,36048,,5,31,16,,,80,16,400000,,400,
D,D3-3,112,4.2,50.2336,37359,50.2336,36873,50.2336,37428,50.2336,37220,,4,33,12,,,80,16,400000,,300,
D,D3-4,131,7.1,52.0603,24593,50.2336,24258,50.2336,24944,50.8425,24598.33333,0.147,7,33,21,83.12018124,8.312018124,92,18.4,460000,180.6960462,456.5217391,39.58103869
D,D3-5,118,5.2,50.2336,27050,50.2336,27410,50.2336,27187,50.2336,27215.66667,0.139,6,30,20,78.5336354,7.85336354,88,17.6,440000,178.485535,454.5454545,39.2668177
D,D3-6,134,7.6,53.887,50491,52.0603,52215,50.2336,48812,52.0603,50506,0.121,9,41,22,68.21390726,6.821390726,134,26.8,670000,101.8118019,328.358209,31.00632148
D,D3-7,120,5.5,50.2336,48753,50.2336,48333,52.0603,48098,50.8425,48394.66667,0.144,11,47,23,81.40022655,8.140022655,142,28.4,710000,114.6482064,323.943662,35.39140285
D,D3-8,113,4.3,48.4069,24882,48.4069,24206,48.4069,24076,48.4069,24388,,,,,,,80,16,400000,,,
D,D3-9,141,8.2,48.4069,30074,50.2336,29517,48.4069,29709,49.0158,29766.66667,0.129,9,38,24,72.8004531,7.28004531,70,14,350000,208.0012946,685.7142857,30.33352213
D,D3-10,142,9.1,52.0603,40358,50.2336,39894,52.0603,40085,51.4514,40112.33333,0.171,9,42,21,96.87981876,9.687981876,74,14.8,370000,261.837348,567.5675676,46.13324703
D,D3-11,116,4.7,50.2336,37313,48.4069,36986,50.2336,37661,49.6247,37320,,7,33,21,,,70,14,350000,,600,
D,D3-12,120,5,50.2336,33404,48.4069,33788,48.4069,33315,49.0158,33502.33333,,8,39,21,,,39,7.8,195000,,1076.923077,
CNT,CNT_1_,145,9.8,52.0603,46399,52.0603,43459,50.2336,43132,51.4514,44330,0.112,8,42,19,63.05404319,6.305404319,138,27.6,690000,91.38267129,275.3623188,33.18633852
CNT,CNT_2,139,8.7,52.0603,30642,50.2336,32475,50.2336,30155,50.8425,31090.66667,0.134,8,34,24,75.66704425,7.566704425,123,24.6,615000,123.0358443,390.2439024,31.5279351
CNT,CNT_3,157,11.7,50.2336,34493,50.2336,31871,50.2336,31681,50.2336,32681.66667,0.15,10,49,20,84.84013593,8.484013593,70,14,350000,242.4003884,571.4285714,42.42006797
CNT,CNT_4,134,8.2,50.2336,28590,52.0603,28714,52.0603,28649,51.4514,28651,0.128,8,34,24,72.22713487,7.222713487,86,17.2,430000,167.9700811,558.1395349,30.09463953
CNT,CNT_5,134,8.1,55.7136,43610,50.2336,37686,52.0603,37111,52.66916667,39469,0.139,8,31,25.80645161,78.5336354,7.85336354,60,12,300000,261.7787847,860.2150538,30.43178372
CNT,CNT_6,134,8.1,52.0603,14262,50.2336,14369,50.2336,14802,50.8425,14477.66667,0.097,9,30,30,54.45426974,5.445426974,,,,,,18.15142325
CNT,CNT_7,140,9.6,50.2336,37597,50.2336,38429,50.2336,36989,50.2336,37671.66667,0.157,13,52,25,88.85336354,8.885336354,39,7.8,195000,455.6582746,1282.051282,35.54134542
CNT,CNT_8,119,5.5,50.2336,27495,50.2336,27695,50.236,27534,50.2344,27574.66667,,12,48,25,,,,,,,,
CNT,CNT_9,116,4.9,50.2336,9723,50.236,6407,50.2336,6499,50.2344,7543,,9,40,22.5,,,,,,,,
CNT,CNT_10,118,6,50.2336,22461,50.2336,21273,50.2336,21516,50.2336,21750,,9,27,33.33333333,,,,,,,,
CNT,CNT_11,117,5.7,52.0603,32436,50.2336,32003,50.2336,33001,50.8425,32480,,7,28,25,,,,,,,,
CNT,CNT_12,141,9.5,52.0603,17345,52.0603,16706,50.2336,17634,51.4514,17228.33333,0.13,14,50,28,73.37377133,7.337377133,65,13,325000,225.7654502,861.5384615,26.20491833
CNT,CNT_13,143,10.4,50.2336,23615,52.0603,23212,50.2336,23368,50.8425,23398.33333,0.157,12,46,26.08695652,88.85336354,8.885336354,56,11.2,280000,317.3334412,931.6770186,34.06045602
CNT,CNT_14,128,6.5,52.0603,221162,50.2336,22025,52.0603,21935,51.4514,88374,,7,29,24.13793103,,,,,,,,
CNT,CNT_15,115,5.2,57.5403,50329,52.0603,48538,52.0603,48448,53.88696667,49105,0.155,10,26,38.46153846,87.70672708,8.770672708,51,10.2,255000,343.9479493,1508.295626,22.80374904
CNT,CNT_16,134,8,52.0603,15486,52.0603,16302,52.0603,15944,52.0603,15910.66667,,5,23,21.73913043,,,,,,,,
CNT,CNT_17,109,4.2,50.2336,31897,50.2336,31569,50.2336,31462,50.2336,31642.66667,,7,21,33.33333333,,,31,6.2,155000,,2150.537634,
CNT,CNT_18,154,11.5,52.0603,31716,50.2336,31166,50.2336,32057,50.8425,31646.33333,0.063,10,45,22.22222222,34.96144992,3.496144992,52,10.4,260000,134.4671151,854.7008547,15.73265246
CNT,CNT_19,113,3.9,52.0603,20560,52.0603,20823,52.0603,20758,52.0603,20713.66667,,,,,,,,,,,,
CNT,CNT_20,120,6,52.0603,11008,48.4069,11091,50.2336,10174,50.2336,10757.66667,,9,43,20.93023256,,,41,8.2,205000,,1020.986954,
