"","Group","time","contrast","emmean","SE","df","lower.CL","upper.CL"
"51",".",".","C final_ - B post",-3.1323999997861,0.499632668203295,200,-4.92586534448425,-1.33893465508796
"52",".",".","C final_ - C post",-3.1631047612987,0.624285868582847,200,-5.40402122201449,-0.922188300582912
"53",".",".","C final_ - CNT post",-2.09607999939395,0.51255127266424,200,-3.9359175508693,-0.25624244791861
"54",".",".","C final_ - D post",-2.87537058743317,0.499632668203296,200,-4.66883593213131,-1.08190524273502
"55",".",".","CNT final_ - D final_",0.967550185611112,0.360097726652167,200,-0.325045023940857,2.26014539516308
"56",".",".","CNT final_ - A initial",-1.704843333,0.540146589978251,200,-3.64373614732795,0.234049481327951
"57",".",".","CNT final_ - B initial",-1.704843333,0.540146589978251,200,-3.64373614732795,0.23404948132795
"58",".",".","CNT final_ - C initial",-1.70484333299999,0.540146589978251,200,-3.64373614732794,0.234049481327965
"59",".",".","CNT final_ - CNT initial",-1.704843333,0.540146589978252,200,-3.64373614732795,0.234049481327952
"60",".",".","CNT final_ - D initial",-1.704843333,0.540146589978252,200,-3.64373614732796,0.234049481327951
"61",".",".","CNT final_ - A post",-0.769737380142898,0.567035799321874,200,-2.80515083487961,1.26567607459382
"62",".",".","CNT final_ - B post",-1.08698500005882,0.425945483760894,200,-2.61594519916457,0.441975199046932
